InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
4x-RTX_4090-96,RTX 4090,4,96,95.953125,1.18,"Taiwan, TW","{'Gpus': [{'Name': 'RTX 4090', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 98256}}], 'TotalGpuMemoryInMiB': 98256}",1.18
2x-RTX_4090-128,RTX 4090,2,128,47.9765625,0.74,"Italy, IT","{'Gpus': [{'Name': 'RTX 4090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49128}}], 'TotalGpuMemoryInMiB': 49128}",0.74
1x-RTX_4090-12,RTX 4090,1,12,23.98828125,0.40,"Sweden, SE","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.40
2x-RTX_3090-128,RTX 3090,2,128,48.0,0.40,"Spain, ES","{'Gpus': [{'Name': 'RTX 3090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",0.40
1x-L40S-128,L40S,1,128,44.98828125,0.67,"Australia, AU","{'Gpus': [{'Name': 'L40S', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 46068}}], 'TotalGpuMemoryInMiB': 46068}",0.67
2x-L40S-128,L40S,2,128,89.9765625,1.33,"Australia, AU","{'Gpus': [{'Name': 'L40S', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 92136}}], 'TotalGpuMemoryInMiB': 92136}",1.33
1x-RTX_4090-6,RTX 4090,1,6,23.98828125,0.29,"South Korea, KR","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.29
2x-RTX_4090-64,RTX 4090,2,64,47.9765625,0.74,"Norway, NO","{'Gpus': [{'Name': 'RTX 4090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49128}}], 'TotalGpuMemoryInMiB': 49128}",0.74
1x-RTX_4090-256,RTX 4090,1,256,23.98828125,0.37,"Italy, IT","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.37
2x-RTX_4090-256,RTX 4090,2,256,47.9765625,0.67,"Norway, NO","{'Gpus': [{'Name': 'RTX 4090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49128}}], 'TotalGpuMemoryInMiB': 49128}",0.67
1x-RTX_4090-256,RTX 4090,1,256,23.98828125,0.43,"North Carolina, US","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.43
1x-RTX_4090-256,RTX 4090,1,256,23.98828125,0.41,"Romania, RO","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.41
4x-H100_NVL-128,H100 NVL,4,128,374.3359375,9.07,"Australia, AU","{'Gpus': [{'Name': 'H100 NVL', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 383320}}], 'TotalGpuMemoryInMiB': 383320}",9.07
2x-H100_NVL-128,H100 NVL,2,128,187.16796875,4.53,"Australia, AU","{'Gpus': [{'Name': 'H100 NVL', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 191660}}], 'TotalGpuMemoryInMiB': 191660}",4.53
2x-RTX_4090-256,RTX 4090,2,256,47.9765625,0.93,"Texas, US","{'Gpus': [{'Name': 'RTX 4090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49128}}], 'TotalGpuMemoryInMiB': 49128}",0.93
1x-RTX_A4000-72,RTX A4000,1,72,15.9921875,0.09,"Pennsylvania, US","{'Gpus': [{'Name': 'RTX A4000', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 16376}}], 'TotalGpuMemoryInMiB': 16376}",0.09
1x-RTX_4090-32,RTX 4090,1,32,23.98828125,0.47,"Czechia, CZ","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.47
