InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone,Arch,LocalDiskType,NVMeSupported,LocalDiskSize,LocalDiskCount
a1.medium,,,1.0,2.0,,0.0255,0.025500,ap-south-1,aps1-az3,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0294,0.029400,ap-southeast-1,apse1-az1,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0294,0.029400,ap-southeast-1,apse1-az2,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0333,0.033300,ap-southeast-2,apse2-az1,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0333,0.033300,ap-southeast-2,apse2-az2,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0291,0.029100,eu-central-1,euc1-az2,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0291,0.029100,eu-central-1,euc1-az3,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0288,0.028800,eu-west-1,euw1-az1,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0288,0.028800,eu-west-1,euw1-az2,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0255,0.025500,us-east-1,use1-az2,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0255,0.025500,us-east-1,use1-az4,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0255,0.025500,us-east-1,use1-az6,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0255,0.025500,us-east-2,use2-az1,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0255,0.025300,us-east-2,use2-az2,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0255,0.025500,us-west-2,usw2-az2,arm64,,False,,
a1.medium,,,1.0,2.0,,0.0255,0.025500,us-west-2,usw2-az3,arm64,,False,,
a1.metal,,,16.0,32.0,,0.514,0.514000,ap-northeast-1,apne1-az2,arm64,,False,,
a1.metal,,,16.0,32.0,,0.514,0.514000,ap-northeast-1,apne1-az4,arm64,,False,,
a1.metal,,,16.0,32.0,,0.408,0.408000,ap-south-1,aps1-az2,arm64,,False,,
a1.metal,,,16.0,32.0,,0.408,0.408000,ap-south-1,aps1-az3,arm64,,False,,
a1.metal,,,16.0,32.0,,0.47,0.470000,ap-southeast-1,apse1-az1,arm64,,False,,
a1.metal,,,16.0,32.0,,0.47,0.470000,ap-southeast-1,apse1-az2,arm64,,False,,
a1.metal,,,16.0,32.0,,0.533,0.533000,ap-southeast-2,apse2-az1,arm64,,False,,
a1.metal,,,16.0,32.0,,0.533,0.533000,ap-southeast-2,apse2-az2,arm64,,False,,
a1.metal,,,16.0,32.0,,0.466,0.466000,eu-central-1,euc1-az2,arm64,,False,,
a1.metal,,,16.0,32.0,,0.466,0.466000,eu-central-1,euc1-az3,arm64,,False,,
a1.metal,,,16.0,32.0,,0.461,0.461000,eu-west-1,euw1-az1,arm64,,False,,
a1.metal,,,16.0,32.0,,0.461,0.461000,eu-west-1,euw1-az2,arm64,,False,,
a1.metal,,,16.0,32.0,,0.408,0.408000,us-east-1,use1-az2,arm64,,False,,
a1.metal,,,16.0,32.0,,0.408,0.408000,us-east-1,use1-az4,arm64,,False,,
a1.metal,,,16.0,32.0,,0.408,0.408000,us-east-1,use1-az6,arm64,,False,,
a1.metal,,,16.0,32.0,,0.408,0.408000,us-east-2,use2-az1,arm64,,False,,
a1.metal,,,16.0,32.0,,0.408,0.286200,us-east-2,use2-az2,arm64,,False,,
a1.metal,,,16.0,32.0,,0.408,0.408000,us-west-2,usw2-az2,arm64,,False,,
a1.metal,,,16.0,32.0,,0.408,0.408000,us-west-2,usw2-az3,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.1284,0.128400,ap-northeast-1,apne1-az2,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.1284,0.128400,ap-northeast-1,apne1-az4,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.102,0.102000,ap-south-1,aps1-az2,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.102,0.102000,ap-south-1,aps1-az3,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.1176,0.117600,ap-southeast-1,apse1-az1,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.1176,0.117600,ap-southeast-1,apse1-az2,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.1332,0.133200,ap-southeast-2,apse2-az1,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.1332,0.133200,ap-southeast-2,apse2-az2,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.1164,0.116400,eu-central-1,euc1-az2,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.1164,0.116400,eu-central-1,euc1-az3,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.1152,0.115200,eu-west-1,euw1-az1,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.1152,0.115200,eu-west-1,euw1-az2,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.102,0.102000,us-east-1,use1-az2,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.102,0.102000,us-east-1,use1-az4,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.102,0.102000,us-east-1,use1-az6,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.102,0.068800,us-east-2,use2-az1,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.102,0.102000,us-east-2,use2-az2,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.102,0.102000,us-west-2,usw2-az2,arm64,,False,,
a1.xlarge,,,4.0,8.0,,0.102,0.102000,us-west-2,usw2-az3,arm64,,False,,
c1.medium,,,2.0,1.69921875,,0.158,0.051800,ap-northeast-1,apne1-az1,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.158,0.158000,ap-northeast-1,apne1-az4,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.164,0.040600,ap-southeast-1,apse1-az1,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.164,0.049100,ap-southeast-1,apse1-az2,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.164,0.036000,ap-southeast-2,apse2-az1,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.164,0.048000,ap-southeast-2,apse2-az3,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.148,0.060100,eu-west-1,euw1-az1,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.148,0.066300,eu-west-1,euw1-az2,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.148,0.058800,eu-west-1,euw1-az3,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.13,0.041000,us-east-1,use1-az1,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.13,0.041200,us-east-1,use1-az2,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.13,0.041100,us-east-1,use1-az4,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.13,0.043400,us-east-1,use1-az6,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.148,0.040100,us-west-1,usw1-az1,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.148,0.058300,us-west-1,usw1-az3,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.13,0.046100,us-west-2,usw2-az1,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.13,0.054200,us-west-2,usw2-az2,i386,hdd,False,350.0,1.0
c1.medium,,,2.0,1.69921875,,0.13,0.043700,us-west-2,usw2-az3,i386,hdd,False,350.0,1.0
c1.xlarge,,,8.0,7.0,,0.632,0.157000,ap-northeast-1,apne1-az1,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.632,0.412600,ap-northeast-1,apne1-az4,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.655,0.260000,ap-southeast-1,apse1-az1,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.655,0.266200,ap-southeast-1,apse1-az2,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.655,0.158500,ap-southeast-2,apse2-az1,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.655,0.272700,ap-southeast-2,apse2-az3,x86_64,hdd,False,420.0,4.0
