InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
RTX5090_2x,RTX5090,2.0,32.0,63.0,0.98,FR,"{'Gpus': [{'Name': 'RTX5090', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 32768}, 'TotalGpuMemoryInMiB': 65536}]}",
RTX5090_2x,RTX5090,2.0,64.0,126.0,1.38,RU,"{'Gpus': [{'Name': 'RTX5090', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 32768}, 'TotalGpuMemoryInMiB': 65536}]}",
RTX5090_2x,RTX5090,2.0,16.0,30.0,1.38,US,"{'Gpus': [{'Name': 'RTX5090', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 32768}, 'TotalGpuMemoryInMiB': 65536}]}",
RTX5090_8x,RTX5090,8.0,128.0,504.0,4.8,HK,"{'Gpus': [{'Name': 'RTX5090', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 32768}, 'TotalGpuMemoryInMiB': 262144}]}",
RTX5090_8x,RTX5090,8.0,384.0,503.0,3.2,JP,"{'Gpus': [{'Name': 'RTX5090', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 32768}, 'TotalGpuMemoryInMiB': 262144}]}",
RTX5090_8x,RTX5090,8.0,256.0,504.0,5.52,US,"{'Gpus': [{'Name': 'RTX5090', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 32768}, 'TotalGpuMemoryInMiB': 262144}]}",
RTX6000-Ada_1x,RTX6000-Ada,1.0,32.0,126.0,0.8,GR,"{'Gpus': [{'Name': 'RTX6000-Ada', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 49152}, 'TotalGpuMemoryInMiB': 49152}]}",
RTXPRO6000-WK_1x,RTXPRO6000-WK,1.0,64.0,251.0,1.45,RO,"{'Gpus': [{'Name': 'RTXPRO6000-WK', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 98304}, 'TotalGpuMemoryInMiB': 98304}]}",
RTXPRO6000_1x,RTXPRO6000,1.0,16.0,142.0,1.29,US,"{'Gpus': [{'Name': 'RTXPRO6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 98304}, 'TotalGpuMemoryInMiB': 98304}]}",
RTXPRO6000_8x,RTXPRO6000,8.0,128.0,1511.0,14.8,US,"{'Gpus': [{'Name': 'RTXPRO6000', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 98304}, 'TotalGpuMemoryInMiB': 786432}]}",
