Tag,Region,OS,OSVersion,ImageId,CreationDate
skypilot:k80-ubuntu-2004,eu-west-2,ubuntu,20.04,ami-086380aca67a8a871,20211208
skypilot:k80-ubuntu-2004,eu-west-3,ubuntu,20.04,ami-0d19b6bc708b28c11,20211208
skypilot:k80-ubuntu-2004,eu-north-1,ubuntu,20.04,ami-03c8f75e86fe40f9c,20211208
skypilot:k80-ubuntu-2004,ap-east-1,ubuntu,20.04,ami-0d32a9108e5604680,20211208
skypilot:k80-ubuntu-2004,ap-south-1,ubuntu,20.04,ami-06dbefca5d9fb8363,20211208
skypilot:k80-ubuntu-2004,ap-northeast-3,ubuntu,20.04,ami-0002064e4516f6a81,20211208
skypilot:k80-ubuntu-2004,ap-northeast-2,ubuntu,20.04,ami-09b640a19aef24065,20211208
skypilot:k80-ubuntu-2004,ap-southeast-1,ubuntu,20.04,ami-083e08861af955ee6,20211208
skypilot:k80-ubuntu-2004,ap-southeast-2,ubuntu,20.04,ami-0ede36f89ad946d84,20211208
skypilot:k80-ubuntu-2004,ap-northeast-1,ubuntu,20.04,ami-04ea402a322ec1b1e,20211208
