InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
ECS4GPU6,L4,8,32,256.0,3.04,it-fr2,"{'Gpus': [{'Name': 'L4', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 196608}",
ECS1GPU7,L40s,1,8,32.0,0.85,it-fr2,"{'Gpus': [{'Name': 'L40s', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
ECS2GPU7,L40s,2,16,64.0,1.7,it-fr2,"{'Gpus': [{'Name': 'L40s', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 98304}",
ECS3GPU7,L40s,4,32,128.0,3.4,it-fr2,"{'Gpus': [{'Name': 'L40s', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 196608}",
ECS4GPU7,L40s,8,64,256.0,6.8,it-fr2,"{'Gpus': [{'Name': 'L40s', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 393216}",
ECS1GPU8,H100,4,64,1024.0,8.4,it-fr2,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 327680}",
eCS1HM,,,4,64.0,0.217,it-fr2,,
eCS2HM,,,8,128.0,0.434,it-fr2,,
eCS3HM,,,16,256.0,0.719,it-fr2,,
eCS4HM,,,32,512.0,1.338,it-fr2,,
eCS5HM,,,32,960.0,2.537,it-fr2,,
