Tag,Region,OS,OSVersion,ImageId,CreationDate,BaseImageId
skypilot:cpu-debian-10,,debian,10,projects/deeplearning-platform-release/global/images/common-cpu-v20240214-py310,20221215,
skypilot:k80-debian-10,,debian,10,projects/deeplearning-platform-release/global/images/common-cu113-v20220701,20220701,
skypilot:gpu-debian-10,,debian,10,projects/deeplearning-platform-release/global/images/common-cu113-v20240214-py310,20221215,
skypilot:cuda118-debian-11,,debian,11,projects/deeplearning-platform-release/global/images/common-gpu-v20230615-debian-11-py310,20230615,
skypilot:cuda121-debian-11,,debian,11,projects/deeplearning-platform-release/global/images/common-cu121-v20231105-debian-11-py310,20231105,
skypilot:cpu-debian-11,,debian,11,projects/deeplearning-platform-release/global/images/common-cpu-v20231105-debian-11-py310,20231105,
skypilot:gpu-debian-11,,debian,11,projects/deeplearning-platform-release/global/images/common-cu121-v20231105-debian-11-py310,20231105,
skypilot:custom-gpu-ubuntu-11,,ubuntu,11,projects/sky-dev-465/global/images/skypilot-gcp-gpu-ubuntu-20241011195047,20241008,ubuntu-2204-jammy-v20240927
skypilot:custom-cpu-ubuntu-11,,ubuntu,11,projects/sky-dev-465/global/images/skypilot-gcp-cpu-ubuntu-20241011192630,20241008,ubuntu-2204-jammy-v20240927
