Tag,Region,OS,OSVersion,ImageId,AppCatalogListingId,ResourceVersion
skypilot:cpu-ubuntu-2004,af-johannesburg-1,ubuntu,20.04,ocid1.image.oc1.af-johannesburg-1.aaaaaaaa4mxkwohozyffounblnodpikbpjas3im4tq5s4bihyjnybbtqxuoa,,20230318
skypilot:cpu-ubuntu-2004,ap-chuncheon-1,ubuntu,20.04,ocid1.image.oc1.ap-chuncheon-1.aaaaaaaaiwqxx3boumo5vnnje2s5czhn6kq7fm245tpmjhazwla2aythx54a,,20230318
skypilot:cpu-ubuntu-2004,ap-hyderabad-1,ubuntu,20.04,ocid1.image.oc1.ap-hyderabad-1.aaaaaaaajnlcphciytecqrky6c52fpb5acnjczjgrwighlo6zye5j4ufctsa,,20230318
skypilot:cpu-ubuntu-2004,ap-melbourne-1,ubuntu,20.04,ocid1.image.oc1.ap-melbourne-1.aaaaaaaa6nlxefmbobiirmcakrooozlusn3ciqjbhs46np3gr5vddvigp2rq,,20230318
skypilot:cpu-ubuntu-2004,ap-mumbai-1,ubuntu,20.04,ocid1.image.oc1.ap-mumbai-1.aaaaaaaapu3m2bzkj4ikh53epafhxd2h7dzbyqvprky4gbwtlycru554ypba,,20230318
skypilot:cpu-ubuntu-2004,ap-osaka-1,ubuntu,20.04,ocid1.image.oc1.ap-osaka-1.aaaaaaaauutsfmtatswxmhzztuxpqxqbon2tghn4qnhaanq7ymexi3gdbxlq,,20230318
skypilot:cpu-ubuntu-2004,ap-seoul-1,ubuntu,20.04,ocid1.image.oc1.ap-seoul-1.aaaaaaaafbcowzw7dsvqqq7j7npkaiqq2hksunlcdwwgy3vcinw6iyp7fngq,,20230318
skypilot:cpu-ubuntu-2004,ap-singapore-1,ubuntu,20.04,ocid1.image.oc1.ap-singapore-1.aaaaaaaaabz5cp5zkrvmftn4t6uhaczxzyulwqlc3tpytl6ny7nwe7xknf6a,,20230318
skypilot:cpu-ubuntu-2004,ap-sydney-1,ubuntu,20.04,ocid1.image.oc1.ap-sydney-1.aaaaaaaajhfg655mec4wi6trgjo4rrfrq3mngz2jkkhclyban5neoqktxdkq,,20230318
skypilot:cpu-ubuntu-2004,ap-tokyo-1,ubuntu,20.04,ocid1.image.oc1.ap-tokyo-1.aaaaaaaalnouglkzcdcwejxpvyyehmlhcenjhf4njh4cfpgyavr5egfnxjda,,20230318
skypilot:cpu-ubuntu-2004,ca-montreal-1,ubuntu,20.04,ocid1.image.oc1.ca-montreal-1.aaaaaaaaokqhfjcarltnlw4rlm7tnu4o6lvklfkbribmpei55p2dnjxl55xa,,20230318
skypilot:cpu-ubuntu-2004,ca-toronto-1,ubuntu,20.04,ocid1.image.oc1.ca-toronto-1.aaaaaaaa264vmknbh6c4bpff2jzggjxvqnqtcigwfivducj7v3r3xvnvtzqa,,20230318
skypilot:cpu-ubuntu-2004,eu-amsterdam-1,ubuntu,20.04,ocid1.image.oc1.eu-amsterdam-1.aaaaaaaayp323yd5dlk2aa2dwid4yxnifhoqvm2cxolc3vecdgtpmiyfua2q,,20230318
skypilot:cpu-ubuntu-2004,eu-frankfurt-1,ubuntu,20.04,ocid1.image.oc1.eu-frankfurt-1.aaaaaaaa5ji4mkk4gddu5gymlql5hfcwuhrt3yt2vrq2eq5agfjx5sl7sulq,,20230318
