Tag,Region,OS,OSVersion,ImageId,CreationDate,BaseImageId
skypilot:custom-cpu-ubuntu-arm64,me-central-1,ubuntu,22.04,ami-01e67b8473cfc5501,20250905,ami-01b2110eef525172b
skypilot:custom-cpu-ubuntu-arm64,me-south-1,ubuntu,22.04,ami-024e7141bddeff15d,20250905,ami-01b2110eef525172b
skypilot:custom-cpu-ubuntu-arm64,us-east-1,ubuntu,22.04,ami-010ff894c9df6c3f9,20250905,ami-01b2110eef525172b
skypilot:custom-cpu-ubuntu-arm64,us-east-2,ubuntu,22.04,ami-07e9cbeb39a4b7046,20250905,ami-01b2110eef525172b
skypilot:custom-cpu-ubuntu-arm64,us-west-1,ubuntu,22.04,ami-025149c99ea7b3053,20250905,ami-01b2110eef525172b
skypilot:custom-cpu-ubuntu-arm64,us-west-2,ubuntu,22.04,ami-0fb3a6d6ff8b490aa,20250905,ami-01b2110eef525172b
skypilot:custom-cpu-ubuntu,af-south-1,ubuntu,22.04,ami-0516e25aa3122eb7c,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,ap-east-1,ubuntu,22.04,ami-02ad0155f06ab75c8,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,ap-northeast-1,ubuntu,22.04,ami-0df17a04a62aa41c0,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,ap-northeast-2,ubuntu,22.04,ami-0b50e199ef11d7ac3,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,ap-northeast-3,ubuntu,22.04,ami-07521763c9a3f7d5a,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,ap-south-1,ubuntu,22.04,ami-0732696c6a93a8759,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,ap-south-2,ubuntu,22.04,ami-0591c783f10e856c9,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,ap-southeast-1,ubuntu,22.04,ami-0789c6f326db812a2,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,ap-southeast-2,ubuntu,22.04,ami-01bc536748c1b1587,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,ap-southeast-3,ubuntu,22.04,ami-097e57d12b5d4f865,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,ca-central-1,ubuntu,22.04,ami-069126e5efa05a33b,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,eu-central-1,ubuntu,22.04,ami-03426c80b8cb3e662,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,eu-central-2,ubuntu,22.04,ami-00375b50d32cf6f9c,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,eu-north-1,ubuntu,22.04,ami-06ed408a48609623d,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,eu-south-1,ubuntu,22.04,ami-0aefc70f7e026503c,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,eu-south-2,ubuntu,22.04,ami-09708d95ef2c5f7f7,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,eu-west-1,ubuntu,22.04,ami-067ee79a19f39472d,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,eu-west-2,ubuntu,22.04,ami-0b5284dd0bf2ceba9,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,eu-west-3,ubuntu,22.04,ami-0e1f5a727a9a3166e,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,me-central-1,ubuntu,22.04,ami-079424c40fecc4fb2,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,me-south-1,ubuntu,22.04,ami-0e477a5950d7c3cf2,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,us-east-1,ubuntu,22.04,ami-0e6842148a3d9982b,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,us-east-2,ubuntu,22.04,ami-000ff33518704d625,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,us-west-1,ubuntu,22.04,ami-0dd01a8ed181efda9,20241104,ami-005fc0f236362e99f
skypilot:custom-cpu-ubuntu,us-west-2,ubuntu,22.04,ami-0289552b2bfbae70a,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,af-south-1,ubuntu,22.04,ami-0de92df39b8e13148,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,ap-east-1,ubuntu,22.04,ami-0d3b8767815e2ff5b,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,ap-northeast-1,ubuntu,22.04,ami-01589ca595bb6c77d,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,ap-northeast-2,ubuntu,22.04,ami-026edf16112c9d61c,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,ap-northeast-3,ubuntu,22.04,ami-06ffe472e7611df61,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,ap-south-1,ubuntu,22.04,ami-05a39f48059ec6afa,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,ap-south-2,ubuntu,22.04,ami-089d55c4b9e6ba2ee,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,ap-southeast-1,ubuntu,22.04,ami-0ea1912bcff2f8b87,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,ap-southeast-2,ubuntu,22.04,ami-0ba9418ab0fb0b7a8,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,ap-southeast-3,ubuntu,22.04,ami-06b8191bd2c3f0230,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,ca-central-1,ubuntu,22.04,ami-0493c12dc5b07f977,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,eu-central-1,ubuntu,22.04,ami-05d72980c72b3ad61,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,eu-central-2,ubuntu,22.04,ami-057d4563e3e434325,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,eu-north-1,ubuntu,22.04,ami-02acc870016212c5c,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,eu-south-1,ubuntu,22.04,ami-0dc0662a0a02a0c0d,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,eu-south-2,ubuntu,22.04,ami-033800402b8b283a7,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,eu-west-1,ubuntu,22.04,ami-0f433eb03ed36277e,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,eu-west-2,ubuntu,22.04,ami-07a666066e1e94d39,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,eu-west-3,ubuntu,22.04,ami-0e7ad9e864a503662,20241104,ami-005fc0f236362e99f
