InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo
gpu_6x_rtx3060_96,RTX3060,6,96,384,0.420,North America-CA,"{'Gpus': [{'Name': 'RTX 3060', 'Manufacturer': 'NVIDIA', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 12288}}], 'TotalGpuMemoryInMiB': 12288}"
gpu_7x_rtxa2000_168,RTXA2000,7,168,224,0.420,Europe-NO,"{'Gpus': [{'Name': 'RTX A2000', 'Manufacturer': 'NVIDIA', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 6144}}], 'TotalGpuMemoryInMiB': 6144}"
gpu_2x_rtx3090_25,RTX3090,2,25,64,0.440,Europe-EE,"{'Gpus': [{'Name': 'RTX 3090', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}"
gpu_1x_rtx5090_32,RTX5090,1,32,128,0.460,Europe-PL,"{'Gpus': [{'Name': 'RTX 5090', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}"
gpu_8x_rtxa2000_192,RTXA2000,8,192,256,0.480,Europe-NO,"{'Gpus': [{'Name': 'RTX A2000', 'Manufacturer': 'NVIDIA', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 6144}}], 'TotalGpuMemoryInMiB': 6144}"
gpu_3x_rtx3090_38,RTX3090,3,38,96,0.660,Europe-EE,"{'Gpus': [{'Name': 'RTX 3090', 'Manufacturer': 'NVIDIA', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}"
gpu_2x_rtx4090_64,RTX4090,2,64,256,0.680,Europe-PL,"{'Gpus': [{'Name': 'RTX 4090', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}"
gpu_2x_rtx5090_64,RTX5090,2,64,256,0.920,Europe-PL,"{'Gpus': [{'Name': 'RTX 5090', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}"
gpu_1x_rtxpro6000blackwell_96,RTXPRO6000Blackwell,1,96,384,0.990,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
gpu_3x_rtx4090_96,RTX4090,3,96,384,1.020,Europe-PL,"{'Gpus': [{'Name': 'RTX 4090', 'Manufacturer': 'NVIDIA', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}"
gpu_4x_rtx4090_128,RTX4090,4,128,512,1.280,Europe-PL,"{'Gpus': [{'Name': 'RTX 4090', 'Manufacturer': 'NVIDIA', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}"
gpu_4x_rtx4090_128,RTX4090,4,128,512,1.360,Europe-PL,"{'Gpus': [{'Name': 'RTX 4090', 'Manufacturer': 'NVIDIA', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}"
gpu_3x_rtx5090_96,RTX5090,3,96,384,1.380,Europe-PL,"{'Gpus': [{'Name': 'RTX 5090', 'Manufacturer': 'NVIDIA', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}"
