InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice,Provider,OperatingSystem,SpheronInstanceType
1H100.80S.32V_FIN-03_500,H100_SXM5,1.0,32.0,185.0,2.9124,Finland 3,"{""Gpus"": [{""Name"": ""H100_SXM5"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",0.8015,data-crunch,Ubuntu 22.04,DEDICATED
1H100.80S.32V_FIN-03_1000,H100_SXM5,1.0,32.0,185.0,3.0768,Finland 3,"{""Gpus"": [{""Name"": ""H100_SXM5"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",0.8015,data-crunch,Ubuntu 22.04,DEDICATED
H100_668d6762247d03149a4c9468_dallas-usa-1,H100_PCIE_BAREMETAL,1.0,16.0,192.0,2.6268,dallas-usa-1,"{""Gpus"": [{""Name"": ""H100_PCIE_BAREMETAL"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu24.04_cuda12.4_shade_os,DEDICATED
n3-H100x8-NVLink__CANADA-1,H100_NVL,8.0,252.0,1440.0,16.4807,CANADA-1,"{""Gpus"": [{""Name"": ""H100_NVL"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-H100x8-NVLink-bigroot__CANADA-1,H100_NVL,8.0,252.0,1440.0,16.4807,CANADA-1,"{""Gpus"": [{""Name"": ""H100_NVL"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
H100x8_668d6762247d03149a4c9474_montreal-canada-2,H100_PCIE,8.0,252.0,1440.0,20.064,montreal-canada-2,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
H100x8_NVLINK_668d6762247d03149a4c9474_montreal-canada-2,H100_PCIE,8.0,252.0,1440.0,20.592,montreal-canada-2,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
H100x4_668d6762247d03149a4c9474_montreal-canada-2,H100_PCIE,4.0,124.0,720.0,10.032,montreal-canada-2,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 327680}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
H100x2_668d6762247d03149a4c9474_montreal-canada-2,H100_PCIE,2.0,60.0,360.0,5.016,montreal-canada-2,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 163840}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
H100x2_677dc00033f3247083221e73_paris-france-1,H100_PCIE,2.0,48.0,480.0,8.0256,paris-france-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 163840}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
H100x2_677dc00033f3247083221e73_warsaw-poland-1,H100_PCIE,2.0,48.0,480.0,8.0256,warsaw-poland-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 163840}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
H100_668d6762247d03149a4c9474_montreal-canada-2,H100_PCIE,1.0,28.0,180.0,2.508,montreal-canada-2,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
H100_677dc00033f3247083221e73_paris-france-1,H100_PCIE,1.0,24.0,240.0,4.0656,paris-france-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
H100_677dc00033f3247083221e73_warsaw-poland-1,H100_PCIE,1.0,24.0,240.0,4.0656,warsaw-poland-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
H100_668d6762247d03149a4c946f_newyork-usa-1,H100_PCIE,1.0,16.0,268.0,7.9068,newyork-usa-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
n3-H100x1__CANADA-1,H100_PCIE,1.0,28.0,180.0,2.0135,CANADA-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-H100x1-bigroot__CANADA-1,H100_PCIE,1.0,28.0,180.0,2.0135,CANADA-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-H100x2__CANADA-1,H100_PCIE,2.0,60.0,360.0,4.0199,CANADA-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 163840}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-H100x2-bigroot__CANADA-1,H100_PCIE,2.0,60.0,360.0,4.0199,CANADA-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 163840}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-H100x4__CANADA-1,H100_PCIE,4.0,124.0,720.0,8.0327,CANADA-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 327680}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-H100x4-bigroot__CANADA-1,H100_PCIE,4.0,124.0,720.0,8.0327,CANADA-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 327680}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-H100x8__CANADA-1,H100_PCIE,8.0,252.0,1440.0,16.0583,CANADA-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-H100x8-bigroot__CANADA-1,H100_PCIE,8.0,252.0,1440.0,16.0583,CANADA-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
A100_sxm4_80Gx8_668d6762247d03149a4c946f_newyork-usa-1,A100_80G_SXM4,8.0,96.0,720.0,34.0032,newyork-usa-1,"{""Gpus"": [{""Name"": ""A100_80G_SXM4"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
A100_sxm4x8_66b9a4e034c5c91a4d6a625d_calgary-canada-1,A100_80G_SXM4,8.0,120.0,940.0,13.2,calgary-canada-1,"{""Gpus"": [{""Name"": ""A100_80G_SXM4"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
A100_sxm4_80G_668d6762247d03149a4c947b_desmoines-usa-1,A100_80G_SXM4,1.0,14.0,100.0,1.6368,desmoines-usa-1,"{""Gpus"": [{""Name"": ""A100_80G_SXM4"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
A100_sxm4_80G_DGX_668d6762247d03149a4c947b_kansascity-usa-1,A100_80G_SXM4,1.0,16.0,160.0,1.6368,kansascity-usa-1,"{""Gpus"": [{""Name"": ""A100_80G_SXM4"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
A100_sxm4_80G_66b9a4e034c5c91a4d6a625d_houston-usa-1,A100_80G_SXM4,1.0,24.0,116.0,1.782,houston-usa-1,"{""Gpus"": [{""Name"": ""A100_80G_SXM4"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
A100_sxm4_80G_668d6762247d03149a4c946f_newyork-usa-1,A100_80G_SXM4,1.0,8.0,90.0,4.3296,newyork-usa-1,"{""Gpus"": [{""Name"": ""A100_80G_SXM4"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
A100_sxm4_66b9a4e034c5c91a4d6a625d_calgary-canada-1,A100_80G_SXM4,1.0,14.0,117.0,1.65,calgary-canada-1,"{""Gpus"": [{""Name"": ""A100_80G_SXM4"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
n3-A100-SXM4x8__US-1,A100_80G_SXM4,8.0,192.0,960.0,13.5239,US-1,"{""Gpus"": [{""Name"": ""A100_80G_SXM4"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
A100_80Gx2_668d6762247d03149a4c9474_montreal-canada-2,A100_80G_PCIE,2.0,60.0,240.0,3.564,montreal-canada-2,"{""Gpus"": [{""Name"": ""A100_80G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 163840}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
A100_80G_668d6762247d03149a4c9474_montreal-canada-2,A100_80G_PCIE,1.0,28.0,120.0,1.782,montreal-canada-2,"{""Gpus"": [{""Name"": ""A100_80G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
A100_80G_668d6762247d03149a4c946a_culpeper-usa-1,A100_80G_PCIE,1.0,12.0,120.0,2.178,culpeper-usa-1,"{""Gpus"": [{""Name"": ""A100_80G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
A100_80G_668d6762247d03149a4c946b_newark-usa-1,A100_80G_PCIE,1.0,12.0,120.0,3.432,newark-usa-1,"{""Gpus"": [{""Name"": ""A100_80G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A100_80G_668d6762247d03149a4c946b_tokyo-japan-2,A100_80G_PCIE,1.0,12.0,120.0,3.432,tokyo-japan-2,"{""Gpus"": [{""Name"": ""A100_80G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A100_668d6762247d03149a4c946f_newyork-usa-1,A100_80G_PCIE,1.0,8.0,90.0,4.2108,newyork-usa-1,"{""Gpus"": [{""Name"": ""A100_80G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
gpu_1x_DGX_A100_us-central-2,A100_80G_PCIE,1.0,16.0,120.0,1.104,us-central-2,"{""Gpus"": [{""Name"": ""A100_80G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_1x_a100_SXM4_us-central-3,A100_80G_PCIE,1.0,14.0,100.0,1.068,us-central-3,"{""Gpus"": [{""Name"": ""A100_80G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
n3-A100x1__CANADA-1,A100_80G_PCIE,1.0,28.0,120.0,1.4327,CANADA-1,"{""Gpus"": [{""Name"": ""A100_80G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-A100x1-spot__CANADA-1,A100_80G_PCIE,1.0,28.0,120.0,,CANADA-1,"{""Gpus"": [{""Name"": ""A100_80G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",1.1476,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,SPOT
n3-A100x2__CANADA-1,A100_80G_PCIE,2.0,60.0,240.0,2.8583,CANADA-1,"{""Gpus"": [{""Name"": ""A100_80G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 163840}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
RTX5090x8_67884c00280fba46a71e23eb_casper-usa-1,RTX5090_PCIE_BAREMETAL,8.0,64.0,256.0,7.392,casper-usa-1,"{""Gpus"": [{""Name"": ""RTX5090_PCIE_BAREMETAL"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 32768}, ""TotalGpuMemoryInMiB"": 262144}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
RTX5090x2_6788f4c0280fba46a71eb46f_oslo-norway-3,RTX5090_PCIE,2.0,24.0,240.0,1.716,oslo-norway-3,"{""Gpus"": [{""Name"": ""RTX5090_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 32768}, ""TotalGpuMemoryInMiB"": 65536}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
RTX5090_6788f4c0280fba46a71eb46f_oslo-norway-3,RTX5090_PCIE,1.0,12.0,120.0,0.858,oslo-norway-3,"{""Gpus"": [{""Name"": ""RTX5090_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 32768}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
L40Sx8_67884c00280fba46a71e23ed_raleigh-usa-1,L40S_PCIE_BAREMETAL,8.0,64.0,1536.0,7.2864,raleigh-usa-1,"{""Gpus"": [{""Name"": ""L40S_PCIE_BAREMETAL"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 393216}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
L40Sx8_668d6762247d03149a4c947b_kansascity-usa-1,L40S_PCIE,8.0,142.0,768.0,9.2928,kansascity-usa-1,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 393216}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
L40Sx8_677dc00033f3247083221e73_warsaw-poland-1,L40S_PCIE,8.0,64.0,768.0,16.3548,warsaw-poland-1,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 393216}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
L40Sx4_668d6762247d03149a4c947b_kansascity-usa-1,L40S_PCIE,4.0,88.0,512.0,4.6464,kansascity-usa-1,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 196608}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
L40Sx4_677dc00033f3247083221e73_warsaw-poland-1,L40S_PCIE,4.0,32.0,384.0,8.2236,warsaw-poland-1,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 196608}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
L40Sx2_668d6762247d03149a4c947b_kansascity-usa-1,L40S_PCIE,2.0,44.0,256.0,2.3232,kansascity-usa-1,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
L40Sx2_668d6762247d03149a4c946a_culpeper-usa-1,L40S_PCIE,2.0,16.0,294.0,3.828,culpeper-usa-1,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
L40Sx2_677dc00033f3247083221e73_warsaw-poland-1,L40S_PCIE,2.0,16.0,192.0,4.158,warsaw-poland-1,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
L40S_668d6762247d03149a4c947b_kansascity-usa-1,L40S_PCIE,1.0,22.0,128.0,1.1616,kansascity-usa-1,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
L40S_668d6762247d03149a4c947b_desmoines-usa-1,L40S_PCIE,1.0,22.0,128.0,1.1616,desmoines-usa-1,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
L40S_677dc00033f3247083221e73_warsaw-poland-1,L40S_PCIE,1.0,8.0,96.0,2.1252,warsaw-poland-1,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
gpu_1x_l40s_us-central-2,L40S_PCIE,1.0,12.0,72.0,0.72,us-central-2,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_1x_l40s_us-central-3,L40S_PCIE,1.0,12.0,72.0,0.72,us-central-3,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_2x_l40s_us-central-2,L40S_PCIE,2.0,24.0,144.0,1.44,us-central-2,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_4x_l40s_us-central-2,L40S_PCIE,4.0,46.0,288.0,2.88,us-central-2,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 196608}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_8x_l40s_us-central-2,L40S_PCIE,8.0,94.0,576.0,5.76,us-central-2,"{""Gpus"": [{""Name"": ""L40S_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 393216}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
L40x8_668d6762247d03149a4c9474_montreal-canada-2,L40_PCIE,8.0,252.0,464.0,10.56,montreal-canada-2,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 393216}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
L40x4_668d6762247d03149a4c9474_montreal-canada-2,L40_PCIE,4.0,126.0,232.0,5.28,montreal-canada-2,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 196608}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
L40x4_668d6762247d03149a4c947b_kansascity-usa-1,L40_PCIE,4.0,100.0,768.0,7.8672,kansascity-usa-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 196608}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
L40x2_668d6762247d03149a4c947b_desmoines-usa-1,L40_PCIE,2.0,50.0,384.0,2.6136,desmoines-usa-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
L40x2_668d6762247d03149a4c947b_kansascity-usa-1,L40_PCIE,2.0,50.0,384.0,2.6136,kansascity-usa-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
