InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice,Provider,OperatingSystem,SpheronInstanceType
RTX6000Ada_668d6762247d03149a4c947b_kansascity-usa-1,RTX6000ADA_PCIE,1.0,12.0,80.0,1.2804,kansascity-usa-1,"{""Gpus"": [{""Name"": ""RTX6000ADA_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
RTX6000Ada_66fbe44054ed40e5ce12da39_toronto-canada-1,RTX6000ADA_PCIE,1.0,8.0,64.0,2.0724,toronto-canada-1,"{""Gpus"": [{""Name"": ""RTX6000ADA_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
gpu_1x_6000_ada_us-central-3,RTX6000ADA_PCIE,1.0,12.0,80.0,0.672,us-central-3,"{""Gpus"": [{""Name"": ""RTX6000ADA_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_1x_6000_ada_us-central-2,RTX6000ADA_PCIE,1.0,12.0,80.0,0.672,us-central-2,"{""Gpus"": [{""Name"": ""RTX6000ADA_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_2x_6000_ada_us-central-2,RTX6000ADA_PCIE,2.0,26.0,160.0,1.344,us-central-2,"{""Gpus"": [{""Name"": ""RTX6000ADA_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_1x_A6000_high_perf_us-central-3,A6000_PCIE_HIGH_PERF,1.0,12.0,64.0,0.492,us-central-3,"{""Gpus"": [{""Name"": ""A6000_PCIE_HIGH_PERF"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_1x_a6000_low_ram_us-central-2,A6000_PCIE_LOW_RAM,1.0,6.0,24.0,0.468,us-central-2,"{""Gpus"": [{""Name"": ""A6000_PCIE_LOW_RAM"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_2x_a6000_low_ram_us-central-2,A6000_PCIE_LOW_RAM,2.0,14.0,48.0,0.936,us-central-2,"{""Gpus"": [{""Name"": ""A6000_PCIE_LOW_RAM"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_4x_a6000_low_ram_us-central-2,A6000_PCIE_LOW_RAM,4.0,30.0,96.0,1.872,us-central-2,"{""Gpus"": [{""Name"": ""A6000_PCIE_LOW_RAM"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 196608}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_8x_a6000_low_ram_us-central-2,A6000_PCIE_LOW_RAM,8.0,62.0,192.0,3.744,us-central-2,"{""Gpus"": [{""Name"": ""A6000_PCIE_LOW_RAM"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 393216}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
